url,entity_identifier,incident_threat_type,threat_summary
https://web-rtz-cn-whatsapp.com.cn,,error_page,"The page is an error page with a 403 Forbidden status, indicating no content was available for analysis."
https://primetrixmeta.com,,parked-page,The domain appears to be a parked page with no specific entity or content identified.
https://web-oma-cn-whatsapp.com.cn,,,
https://web-fxl-cn-whatsapp.com.cn,,,
https://rharcometa.com,,parked-page,"The URL points to a parked page with limited content available, suggesting potential domain squatting."
https://meta-center.store,,parked-page,The URL is a parked domain with generic content and no active impersonation or brand association.
https://web-zlr-cn-whatsapp.com.cn,,warning_page,"The URL leads to a 403 Forbidden error page, indicating limited or no content available."
https://snapinsta.lol,Instagram,software-infringement,"The website impersonates Instagram by offering unauthorized downloading services, likely infringing on software usage rights."
https://fintechmeetup2026meta.com,,error_page,"The URL leads to a Cloudflare error page indicating a connection timeout, suggesting an issue with the web server rather than malicious content."
https://web-ltv-cn-whatsapp.com.cn,,error_page,"The URL returns a '403 Forbidden' error page, indicating restricted access with no content available for deeper analysis."
https://web-frd-cn-whatsapp.com.cn,,,
https://oculus-operis.com,,parked-page,"The domain is a parked page, likely used for ad revenue or domain squatting."
https://gruposdewhatsapp.site,,parked-page,The website appears to be a parked page with limited content visible.
https://meta-guidance.online,,parked-page,The domain is a parked page with no evidence of impersonation or malicious activity.
https://web-xtx-cn-whatsapp.com.cn,,,
https://web-qam-cn-whatsapp.com.cn,,parked-page,"The URL leads to a forbidden page, indicating it is likely a parked domain."
https://web-vzl-cn-whatsapp.com.cn,,error_page,"The URL results in a '403 Forbidden' error page, indicating restricted access with no discernible threat content."
https://miraculousmeta.com,,,
https://web-njj-cn-whatsapp.com.cn,,,
https://whatsapp-click.com,,,
https://web-trt-cn-whatsapp.com.cn,,warning_page,The site displays a warning page indicating restricted access.
https://web-hjz-cn-whatsapp.com.cn,,,
https://fintechmeetupmeta.com,,error_page,The URL leads to an error page with no content available due to a connection timeout.
https://web-fxv-cn-whatsapp.com.cn,,error_page,"The URL leads to a forbidden access page, indicating limited or no available content."
https://web-dlj-cn-whatsapp.com.cn,,error_page,"The URL leads to a forbidden error page, indicating restricted access."
https://instagrammastermind.com,Instagram,parked-page,The site is a parked page with possible reference to Instagram but no impersonation content.
https://web-hpz-cn-whatsapp.com.cn,,error_page,"The page is a 403 Forbidden error, indicating restricted access with no discernible content for threat analysis."
https://instagramautoreply.org,,parked-page,The URL hosts a parked page indicating it's under construction with no clear impersonation or malicious intent.
https://esmeta.org,,,
https://pagesfacebook-verificationform100179.org,,,
https://whatsappaiapp.com,,parked-page,The URL leads to a parked page with no clear brand or individual impersonation detected.
https://worldoculus.news,,parked-page,"The URL redirects to a parked page, likely monetizing through ads without impersonating any entity."
https://meta-fiscal.com,,parked-page,The website is a parked page with no clear impersonation or malicious content.
https://facebook-meta-world-us.trade,Facebook,impersonation,The URL appears to impersonate Facebook by mimicking its branding in the domain name.
https://tr-instagram.com,,parked-page,"The website appears to be a parked page with no identifiable brand or content, indicating potential domain squatting."
https://lineadimeta.sbs,,parked-page,"The URL leads to a parked page with no identifiable content, indicating potential domain squatting."
https://instagramautoreply.site,,,
https://appeal-pagesfacebook.xyz,,,
https://pravilnayasmeta.ru,,error_page,"The site is offline due to expired service or administrative action, indicated by an error page."
https://wakandamessenger.com,,,
https://mundoinstagram.com,,,
https://followersinstagram.com,,warning_page,"The URL leads to a 403 Forbidden warning page, indicating limited or no content available due to server restrictions."
https://fnbmeta.com,,,
https://tag-meta.com,,scam-service,"The website appears to offer a cold mailing service, potentially misleading businesses about its effectiveness."
https://cmrwhatsapp.info,TechStore,scam-service,"The website 'TechStore' offers bot and software services but lacks legitimacy, posing as a scam service."
https://instagram-update.top,,,
https://brmwhatsapp.xyz,,parked-page,The URL likely hosts a parked page with no clear brand or individual impersonation.
https://cometa.global,,,
https://theindianthreads.co.in,The Indian Threads,null,The Indian Threads is a legitimate brand with no deceptive or malicious activity detected.
https://meta-path.pics,,error_page,The URL leads to an error page with no identifiable content or impersonation.
https://za-whatsapp.pics,,,
https://facebook-fx.click,,,
https://za-whatsapp.click,,,
https://livemeta.live,,,
https://caa-whatsapp.top,,parked-page,"The URL likely hosts a parked page, with limited information available for further threat assessment."
https://whatsapp--web.top,,,
https://aymeta.net,,warning_page,The page is a Cloudflare warning indicating verification of human presence and security review.
https://winnermeta.win,,website,The website appears to be a legitimate service for PUBG analytics and streamer reactions.
https://hollywoodbetswhatsappcontactnumber.club,,gambling,"The URL is associated with a gambling service, as indicated by its domain name."
https://hollywoodbetswhatsappnumber.club,,gambling,The site is likely offering gambling services based on URL content.
https://web-qag-cn-whatsapp.com.cn,,parked-page,The URL appears to be a parked page with no discernible brand or individual impersonation.
https://web-whatsapp.info,,parked-page,The website likely serves as a parked page with no clear entity impersonation or other threats.
https://whatsapp-sfca.me,,error_page,The URL leads to an error page with no available content for further analysis.
https://meta-optique.com,,parked-page,The URL points to a parked page with no discernible brand or entity impersonation.
https://web-xpv-cn-whatsapp.com.cn,,,
https://web-aik-cn-whatsapp.com.cn,,parked-page,The URL appears to be a parked page with no discernible impersonation or content.
https://comofazer10kinstagram.shop,,scam-service,The website appears to be a scam service promoting financial transformation and community support with minimal upfront cost.
https://web-yci-cn-whatsapp.com.cn,,parked-page,The URL appears to be a parked page with no clear indication of impersonation or malicious content.
https://web-oss-cn-whatsapp.com.cn,,directory_listing,"The URL leads to a directory listing, indicating unauthorized or unintended content exposure."
https://web-txl-cn-whatsapp.com.cn,,parked-page,"The URL resolves to an IP address but lacks substantial content, suggesting it may be a parked page."
https://web-mke-cn-whatsapp.com.cn,,directory_listing,"The URL points to a directory listing with limited content, indicating a possible misconfigured or abandoned domain."
https://eg-whatsapp.com,,,
https://instagramtakip.com,,impersonation,The URL appears to impersonate Instagram but lacks sufficient content for verification.
https://web-osa-cn-whatsapp.com.cn,,parked-page,The URL likely leads to a parked page with no clear impersonation or malicious content detected.
https://web-qis-cn-whatsapp.com.cn,,parked-page,"The URL appears to be a parked page with no discernible content or branding, suggesting it may not pose an immediate threat but should be monitored for potential misuse."
https://web-moc-cn-whatsapp.com.cn,,parked-page,The URL appears to be a parked page without sufficient content for analysis.
https://whatsapp-m.com,,,
https://ffwhatsapp.com,,directory_listing,"The URL leads to a directory listing, indicating limited content analysis."
https://web-wmq-cn-whatsapp.com.cn,WhatsApp,impersonation,"The URL appears to impersonate WhatsApp, likely for fraudulent purposes."
https://web-eya-cn-whatsapp.com.cn,,parked-page,The website is a parked page with no clear entity or threat identified.
https://web-wsq-cn-whatsapp.com.cn,,parked-page,The site appears to be a parked domain with no visible content related to WhatsApp.
https://web-cyy-cn-whatsapp.com.cn,,,
https://whatsapp-u.com,,,
https://bs-whatsapp.com,,,
https://jm-whatsapp.com,,,
https://hr-whatsapp.com,,,
https://web-yga-cn-whatsapp.com.cn,,parked-page,The domain appears to be a parked page with no clear impersonation or malicious content.
https://web-esa-cn-whatsapp.com.cn,,,
https://ck-whatsapp.com,,,
https://web-fxb-cn-whatsapp.com.cn,,parked-page,The website appears to be a parked page with no significant content available for analysis.
https://web-ems-cn-whatsapp.com.cn,,parked-page,The URL hosts a parked page with no clear content or entity reference.
https://bq-whatsapp.com,,,
https://web-rxb-cn-whatsapp.com.cn,,parked-page,The URL appears to be a parked page with no clear entity identified.
https://web-prv-cn-whatsapp.com.cn,,parked-page,"The website appears to be a parked page with limited content, possibly monetizing the domain."
https://meta-united.xyz,,parked-page,The URL appears to be a parked page with no specific brand or individual impersonation identified.
https://web-yuq-cn-whatsapp.com.cn,WhatsApp,impersonation,"The website impersonates WhatsApp, likely for phishing or deceptive purposes."
https://web-ayw-cn-whatsapp.com.cn,,,
https://web-qqy-cn-whatsapp.com.cn,,parked-page,The URL likely points to a parked page with no clear impersonation or malicious activity detected.
https://predictmeta.com,,parked-page,"The URL leads to a parked page, often used for domain squatting or ad revenue generation."
https://web-oeg-cn-whatsapp.com.cn,,parked-page,The URL likely points to a parked page with no visible content or clear impersonation.
https://web-eyg-cn-whatsapp.com.cn,,parked-page,The URL points to a parked page with no active content or identifiable entity.
https://whatsapp-bh.com,,,
https://web-iyk-cn-whatsapp.com.cn,,parked-page,The URL may represent a parked page with no clear impersonation or malicious content detected.
https://web-uew-cn-whatsapp.com.cn,,impersonation,The domain impersonates WhatsApp but lacks sufficient content for verification.
https://web-sqe-cn-whatsapp.com.cn,,counterfeit,The domain appears to impersonate WhatsApp but lacks sufficient content for verification.
https://web-ukc-cn-whatsapp.com.cn,,,
https://c-whatsapp.com,,parked-page,The URL is likely a parked page with no clear impersonation or harmful content identified.
https://qtmeta.com,,parked-page,The URL appears to be a parked page with no clear brand or entity associated.
https://nfmeta.com,,parked-page,The URL directs to a parked page with no specific entity identified.
https://web-oow-cn-whatsapp.com.cn,,parked-page,The URL likely hosts a parked page with no clear entity or content analysis available.
https://web-eko-cn-whatsapp.com.cn,,parked-page,The URL leads to a parked page with no clear impersonation or harmful content detected.
https://web-yom-cn-whatsapp.com.cn,,typosquatting,"The URL resembles a potential impersonation of WhatsApp but lacks content verification, indicating possible typosquatting."
https://web-iwq-cn-whatsapp.com.cn,,parked-page,The URL leads to a parked page with no specific brand or entity identified.
https://web-ogm-cn-whatsapp.com.cn,,parked-page,The domain appears to be parked with no clear impersonation or content.
https://web-eoo-cn-whatsapp.com.cn,,parked-page,The website appears to be a parked page with no significant content or brand impersonation detected.
https://fr-whatsapp.com,,,
https://web-ckm-cn-whatsapp.com.cn,,parked-page,The URL points to a parked page with no clear association to any known brand or entity.
https://web-xfp-cn-whatsapp.com.cn,,parked-page,"The domain appears to be a parked page, likely used for ad revenue or domain squatting."
https://whatsapp-s.com,,typosquatting,The URL appears to be a typosquatting attempt on 'WhatsApp' with no evidence of impersonation or malicious content.
https://z-whatsapp.com,,parked-page,The URL appears to be a parked page with no clear content analysis available.
https://web-mym-cn-whatsapp.com.cn,,parked-page,The domain appears to be a parked page with no clear entity impersonation.
https://zgmeta.com,,parked-page,The URL likely represents a parked page with no clear entity or content available for deeper analysis.
https://whatsapp-w.com,,parked-page,The URL likely leads to a parked page with no identifiable brand or individual impersonation.
https://web-prb-cn-whatsapp.com.cn,,parked-page,"The website appears to be a parked page, potentially used for domain squatting or ad revenue generation."
https://whatsapp-af.com,,,
https://bn-whatsapp.com,,,
https://web-ykw-cn-whatsapp.com.cn,,typosquatting,"The URL resembles WhatsApp but lacks content verification, suggesting typosquatting."
